County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
57 - Yolo,10/8/2013,Pending Construction,584000,3,Greater Sacramento Counties
57 - Yolo,10/8/2013,In Construction,1483044,7,Greater Sacramento Counties
57 - Yolo,10/8/2013,In Closure,63505,3,Greater Sacramento Counties
58 - Yuba,10/8/2013,In Review,31461706.5,1,
58 - Yuba,10/8/2013,Pending Construction,32194189.5,3,
58 - Yuba,10/8/2013,In Construction,68363126,5,
58 - Yuba,10/8/2013,In Closure,446592,4,
01 - Alameda,10/31/2013,In Review,45409835,50,Bay Area Counties
01 - Alameda,10/31/2013,Pending Construction,569364370.3,119,Bay Area Counties
01 - Alameda,10/31/2013,In Construction,1263710159,182,Bay Area Counties
01 - Alameda,10/31/2013,In Closure,71827633.86,79,Bay Area Counties
02 - Alpine,10/31/2013,In Review,0,0,
02 - Alpine,10/31/2013,Pending Construction,0,0,
02 - Alpine,10/31/2013,In Construction,0,0,
02 - Alpine,10/31/2013,In Closure,0,0,
03 - Amador,10/31/2013,In Review,1610809,2,
03 - Amador,10/31/2013,Pending Construction,0,0,
03 - Amador,10/31/2013,In Construction,1838095,9,
03 - Amador,10/31/2013,In Closure,0,0,
04 - Butte,10/31/2013,In Review,6216107,10,
04 - Butte,10/31/2013,Pending Construction,2182000,8,
04 - Butte,10/31/2013,In Construction,90624945,13,
04 - Butte,10/31/2013,In Closure,922211,7,
05 - Calaveras,10/31/2013,In Review,45000,1,
05 - Calaveras,10/31/2013,Pending Construction,51500,2,
05 - Calaveras,10/31/2013,In Construction,0,0,
05 - Calaveras,10/31/2013,In Closure,168991,1,
06 - Colusa,10/31/2013,In Review,15000,1,
06 - Colusa,10/31/2013,Pending Construction,26951,2,
06 - Colusa,10/31/2013,In Construction,0,0,
06 - Colusa,10/31/2013,In Closure,0,0,
07 - Contra Costa,10/31/2013,In Review,18949040,27,Bay Area Counties
07 - Contra Costa,10/31/2013,Pending Construction,18542516,42,Bay Area Counties
07 - Contra Costa,10/31/2013,In Construction,37518864.98,59,Bay Area Counties
07 - Contra Costa,10/31/2013,In Closure,4910047,18,Bay Area Counties
08 - Del Norte,10/31/2013,In Review,0,0,
08 - Del Norte,10/31/2013,Pending Construction,0,0,
08 - Del Norte,10/31/2013,In Construction,6763431,5,
08 - Del Norte,10/31/2013,In Closure,262211,1,
09 - El Dorado,10/31/2013,In Review,11759315,6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,Pending Construction,12500,1,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Construction,12210865,6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Closure,23367713,4,Greater Sacramento Counties
10 - Fresno,10/31/2013,In Review,38504132.71,39,
10 - Fresno,10/31/2013,Pending Construction,9572508,34,
10 - Fresno,10/31/2013,In Construction,237304837.9,78,
10 - Fresno,10/31/2013,In Closure,19127325.99,89,
11 - Glenn,10/31/2013,In Review,0,0,
11 - Glenn,10/31/2013,Pending Construction,0,0,
11 - Glenn,10/31/2013,In Construction,224685,1,
11 - Glenn,10/31/2013,In Closure,10000,1,
12 - Humboldt,10/31/2013,In Review,5420000,9,
12 - Humboldt,10/31/2013,Pending Construction,1456000,6,
12 - Humboldt,10/31/2013,In Construction,88223714,15,
12 - Humboldt,10/31/2013,In Closure,268300,4,
13 - Imperial,10/31/2013,In Review,6035000,2,
13 - Imperial,10/31/2013,Pending Construction,81500,3,
13 - Imperial,10/31/2013,In Construction,98000,2,
13 - Imperial,10/31/2013,In Closure,508711,2,
14 - Inyo,10/31/2013,In Review,0,0,
14 - Inyo,10/31/2013,Pending Construction,39903,2,
14 - Inyo,10/31/2013,In Construction,9300,2,
14 - Inyo,10/31/2013,In Closure,42165810.54,4,
15 - Kern,10/31/2013,In Review,7412464,20,
15 - Kern,10/31/2013,Pending Construction,1313709,16,
15 - Kern,10/31/2013,In Construction,67076722,33,
15 - Kern,10/31/2013,In Closure,18486899.9,38,
16 - Kings,10/31/2013,In Review,440000,6,
16 - Kings,10/31/2013,Pending Construction,28270000,7,
16 - Kings,10/31/2013,In Construction,318722,6,
16 - Kings,10/31/2013,In Closure,715484.13,12,
17 - Lake,10/31/2013,In Review,243000,2,
17 - Lake,10/31/2013,Pending Construction,167500,3,
17 - Lake,10/31/2013,In Construction,5716410.23,16,
17 - Lake,10/31/2013,In Closure,22628.04,1,
18 - Lassen,10/31/2013,In Review,326000,1,
18 - Lassen,10/31/2013,Pending Construction,145120,1,
18 - Lassen,10/31/2013,In Construction,1164643,9,
18 - Lassen,10/31/2013,In Closure,0,0,
19 - Los Angeles,10/31/2013,In Review,515003508.2,408,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,Pending Construction,206388093.5,500,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Construction,2319040140,855,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Closure,561845225.7,678,Greater Los Angeles Counties
20 - Madera,10/31/2013,In Review,695954,1,
20 - Madera,10/31/2013,Pending Construction,25000,1,
20 - Madera,10/31/2013,In Construction,4947508,21,
20 - Madera,10/31/2013,In Closure,15973640.85,21,
21 - Marin,10/31/2013,In Review,178947915,18,Bay Area Counties
21 - Marin,10/31/2013,Pending Construction,44770375,11,Bay Area Counties
21 - Marin,10/31/2013,In Construction,25346899,20,Bay Area Counties
21 - Marin,10/31/2013,In Closure,4671837,11,Bay Area Counties
22 - Mariposa,10/31/2013,In Review,0,0,
22 - Mariposa,10/31/2013,Pending Construction,0,0,
22 - Mariposa,10/31/2013,In Construction,0,0,
22 - Mariposa,10/31/2013,In Closure,0,0,
23 - Mendocino,10/31/2013,In Review,3596175,8,
23 - Mendocino,10/31/2013,Pending Construction,16013000,5,
23 - Mendocino,10/31/2013,In Construction,2246074,13,
23 - Mendocino,10/31/2013,In Closure,37709600,6,
24 - Merced,10/31/2013,In Review,233600,4,
24 - Merced,10/31/2013,Pending Construction,242700,4,
24 - Merced,10/31/2013,In Construction,12965854,4,
24 - Merced,10/31/2013,In Closure,341860.2,5,
25 - Modoc,10/31/2013,In Review,0,0,
25 - Modoc,10/31/2013,Pending Construction,12500,1,
25 - Modoc,10/31/2013,In Construction,0,0,
25 - Modoc,10/31/2013,In Closure,0,0,
26 - Mono,10/31/2013,In Review,190794,2,
26 - Mono,10/31/2013,Pending Construction,0,0,
26 - Mono,10/31/2013,In Construction,13000,4,
26 - Mono,10/31/2013,In Closure,533972,2,
27 - Monterey,10/31/2013,In Review,1941290,9,
27 - Monterey,10/31/2013,Pending Construction,1483276,13,
27 - Monterey,10/31/2013,In Construction,36485171,20,
27 - Monterey,10/31/2013,In Closure,4644729,19,
28 - Napa,10/31/2013,In Review,1035000,5,Bay Area Counties
28 - Napa,10/31/2013,Pending Construction,669298,6,Bay Area Counties
28 - Napa,10/31/2013,In Construction,34384230,13,Bay Area Counties
28 - Napa,10/31/2013,In Closure,50549387.76,22,Bay Area Counties
29 - Nevada,10/31/2013,In Review,15462056,6,
29 - Nevada,10/31/2013,Pending Construction,3819556,4,
29 - Nevada,10/31/2013,In Construction,30359994,21,
29 - Nevada,10/31/2013,In Closure,0,0,
30 - Orange,10/31/2013,In Review,24759361.33,72,Greater Los Angeles Counties
30 - Orange,10/31/2013,Pending Construction,37318492.33,71,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Construction,286587802.1,143,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Closure,322055635.5,199,Greater Los Angeles Counties
31 - Placer,10/31/2013,In Review,8997190,9,Greater Sacramento Counties
31 - Placer,10/31/2013,Pending Construction,694000,6,Greater Sacramento Counties
31 - Placer,10/31/2013,In Construction,56976629.8,18,Greater Sacramento Counties
31 - Placer,10/31/2013,In Closure,76386793.61,17,Greater Sacramento Counties
32 - Plumas,10/31/2013,In Review,45441,2,
32 - Plumas,10/31/2013,Pending Construction,83000,2,
32 - Plumas,10/31/2013,In Construction,85900,2,
32 - Plumas,10/31/2013,In Closure,0,0,
33 - Riverside,10/31/2013,In Review,307874634.7,71,
33 - Riverside,10/31/2013,Pending Construction,136139194,67,
33 - Riverside,10/31/2013,In Construction,142562559.6,123,
33 - Riverside,10/31/2013,In Closure,61303344.27,110,
34 - Sacramento,10/31/2013,In Review,47671930,37,Greater Sacramento Counties
34 - Sacramento,10/31/2013,Pending Construction,93304886,37,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Construction,266714209.9,127,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Closure,106858864.6,51,Greater Sacramento Counties
35 - San Benito,10/31/2013,In Review,0,0,
35 - San Benito,10/31/2013,Pending Construction,0,0,
35 - San Benito,10/31/2013,In Construction,14215455,4,
35 - San Benito,10/31/2013,In Closure,252000,2,
36 - San Bernardino,10/31/2013,In Review,683636244.5,42,
36 - San Bernardino,10/31/2013,Pending Construction,15640664.78,48,
36 - San Bernardino,10/31/2013,In Construction,201245550.3,119,
36 - San Bernardino,10/31/2013,In Closure,177268881.3,77,
37 - San Diego,10/31/2013,In Review,509544535.7,119,
37 - San Diego,10/31/2013,Pending Construction,113287340.7,111,
37 - San Diego,10/31/2013,In Construction,620160162.1,207,
37 - San Diego,10/31/2013,In Closure,446284663.2,228,
38 - San Francisco,10/31/2013,In Review,919625973.3,62,Bay Area Counties
38 - San Francisco,10/31/2013,Pending Construction,482606378.1,61,Bay Area Counties
38 - San Francisco,10/31/2013,In Construction,1039723884,132,Bay Area Counties
38 - San Francisco,10/31/2013,In Closure,290313873.4,98,Bay Area Counties
39 - San Joaquin,10/31/2013,In Review,4934549.8,23,
39 - San Joaquin,10/31/2013,Pending Construction,90691420,31,
39 - San Joaquin,10/31/2013,In Construction,24619644.58,45,
39 - San Joaquin,10/31/2013,In Closure,18770078.44,17,
40 - San Luis Obispo,10/31/2013,In Review,2903415,12,
40 - San Luis Obispo,10/31/2013,Pending Construction,1539721.8,13,
40 - San Luis Obispo,10/31/2013,In Construction,4703570.1,14,
40 - San Luis Obispo,10/31/2013,In Closure,9639964.02,31,
41 - San Mateo,10/31/2013,In Review,74115764.16,27,Bay Area Counties
41 - San Mateo,10/31/2013,Pending Construction,40621929.46,29,Bay Area Counties
41 - San Mateo,10/31/2013,In Construction,348313671,65,Bay Area Counties
41 - San Mateo,10/31/2013,In Closure,66382812.79,44,Bay Area Counties
42 - Santa Barbara,10/31/2013,In Review,10363000,14,
42 - Santa Barbara,10/31/2013,Pending Construction,81426413.4,23,
42 - Santa Barbara,10/31/2013,In Construction,296429291.8,35,
42 - Santa Barbara,10/31/2013,In Closure,95427783.79,23,
43 - Santa Clara,10/31/2013,In Review,713665546.9,73,Bay Area Counties
43 - Santa Clara,10/31/2013,Pending Construction,64901105,62,Bay Area Counties
43 - Santa Clara,10/31/2013,In Construction,928177745.9,160,Bay Area Counties
43 - Santa Clara,10/31/2013,In Closure,95076342.95,130,Bay Area Counties
44 - Santa Cruz,10/31/2013,In Review,11340229,8,
44 - Santa Cruz,10/31/2013,Pending Construction,145671,7,
44 - Santa Cruz,10/31/2013,In Construction,3814331.99,20,
44 - Santa Cruz,10/31/2013,In Closure,9878627.5,15,
45 - Shasta,10/31/2013,In Review,24118645,18,
45 - Shasta,10/31/2013,Pending Construction,2108028,15,
45 - Shasta,10/31/2013,In Construction,5229507.81,18,
45 - Shasta,10/31/2013,In Closure,9013286,4,
46 - Sierra,10/31/2013,In Review,0,0,
46 - Sierra,10/31/2013,Pending Construction,0,0,
46 - Sierra,10/31/2013,In Construction,0,0,
46 - Sierra,10/31/2013,In Closure,0,0,
47 - Siskiyou,10/31/2013,In Review,10000,1,
47 - Siskiyou,10/31/2013,Pending Construction,726700,3,
47 - Siskiyou,10/31/2013,In Construction,1090562.07,7,
47 - Siskiyou,10/31/2013,In Closure,60000,2,
48 - Solano,10/31/2013,In Review,3834399,13,Bay Area Counties
48 - Solano,10/31/2013,Pending Construction,10073105,12,Bay Area Counties
48 - Solano,10/31/2013,In Construction,42060213.13,30,Bay Area Counties
48 - Solano,10/31/2013,In Closure,31650416,19,Bay Area Counties
49 - Sonoma,10/31/2013,In Review,30909318.6,13,Bay Area Counties
49 - Sonoma,10/31/2013,Pending Construction,6849255,23,Bay Area Counties
49 - Sonoma,10/31/2013,In Construction,131977564.3,44,Bay Area Counties
49 - Sonoma,10/31/2013,In Closure,33643426.3,19,Bay Area Counties
50 - Stanislaus,10/31/2013,In Review,25318158,17,
50 - Stanislaus,10/31/2013,Pending Construction,5173927,19,
50 - Stanislaus,10/31/2013,In Construction,65268660.66,36,
50 - Stanislaus,10/31/2013,In Closure,27352949.97,41,
51 - Sutter,10/31/2013,In Review,12654500,3,
51 - Sutter,10/31/2013,Pending Construction,80683,3,
51 - Sutter,10/31/2013,In Construction,26850,2,
51 - Sutter,10/31/2013,In Closure,23000,1,
52 - Tehama,10/31/2013,In Review,359700,2,
52 - Tehama,10/31/2013,Pending Construction,414500,6,
52 - Tehama,10/31/2013,In Construction,1809800,4,
52 - Tehama,10/31/2013,In Closure,0,0,
53 - Trinity,10/31/2013,In Review,8200,2,
53 - Trinity,10/31/2013,Pending Construction,13200,2,
53 - Trinity,10/31/2013,In Construction,409272,1,
53 - Trinity,10/31/2013,In Closure,0,0,
54 - Tulare,10/31/2013,In Review,34707400,16,
54 - Tulare,10/31/2013,Pending Construction,2600766.29,7,
54 - Tulare,10/31/2013,In Construction,83883087,11,
54 - Tulare,10/31/2013,In Closure,6151336.26,25,
55 - Tuolumne,10/31/2013,In Review,8000,1,
55 - Tuolumne,10/31/2013,Pending Construction,1007100,6,
55 - Tuolumne,10/31/2013,In Construction,634000,4,
55 - Tuolumne,10/31/2013,In Closure,1176273.91,12,
56 - Ventura,10/31/2013,In Review,235049632.7,42,Greater Los Angeles Counties
56 - Ventura,10/31/2013,Pending Construction,29541356.33,34,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Construction,374855499,67,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Closure,34663225,55,Greater Los Angeles Counties
57 - Yolo,10/31/2013,In Review,745911,6,Greater Sacramento Counties
57 - Yolo,10/31/2013,Pending Construction,584000,3,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Construction,1487144,8,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Closure,59405,2,Greater Sacramento Counties
58 - Yuba,10/31/2013,In Review,31462206.5,2,
58 - Yuba,10/31/2013,Pending Construction,32194189.5,3,
58 - Yuba,10/31/2013,In Construction,68363126,5,
58 - Yuba,10/31/2013,In Closure,446592,4,
01 - Alameda,11/14/2013,In Review,37919835,46,Bay Area Counties
01 - Alameda,11/14/2013,Pending Construction,409243809.3,123,Bay Area Counties
01 - Alameda,11/14/2013,In Construction,1473794712,184,Bay Area Counties
01 - Alameda,11/14/2013,In Closure,71666736.8,74,Bay Area Counties
02 - Alpine,11/14/2013,In Review,0,0,
02 - Alpine,11/14/2013,Pending Construction,0,0,
02 - Alpine,11/14/2013,In Construction,0,0,
02 - Alpine,11/14/2013,In Closure,0,0,
03 - Amador,11/14/2013,In Review,1293951,1,
03 - Amador,11/14/2013,Pending Construction,316858,1,
03 - Amador,11/14/2013,In Construction,1838095,9,
03 - Amador,11/14/2013,In Closure,0,0,
04 - Butte,11/14/2013,In Review,6216107,10,
04 - Butte,11/14/2013,Pending Construction,2182000,8,
04 - Butte,11/14/2013,In Construction,90624945,13,
04 - Butte,11/14/2013,In Closure,922211,7,
05 - Calaveras,11/14/2013,In Review,45000,1,
05 - Calaveras,11/14/2013,Pending Construction,51500,2,
05 - Calaveras,11/14/2013,In Construction,0,0,
05 - Calaveras,11/14/2013,In Closure,168991,1,
06 - Colusa,11/14/2013,In Review,15000,1,
06 - Colusa,11/14/2013,Pending Construction,25000,1,
06 - Colusa,11/14/2013,In Construction,1951,1,
06 - Colusa,11/14/2013,In Closure,0,0,
07 - Contra Costa,11/14/2013,In Review,17827243,23,Bay Area Counties
07 - Contra Costa,11/14/2013,Pending Construction,19663813,46,Bay Area Counties
07 - Contra Costa,11/14/2013,In Construction,37597941.98,57,Bay Area Counties
07 - Contra Costa,11/14/2013,In Closure,4951070,21,Bay Area Counties
08 - Del Norte,11/14/2013,In Review,0,0,
08 - Del Norte,11/14/2013,Pending Construction,0,0,
08 - Del Norte,11/14/2013,In Construction,6763431,5,
08 - Del Norte,11/14/2013,In Closure,262211,1,
09 - El Dorado,11/14/2013,In Review,11759315,6,Greater Sacramento Counties
09 - El Dorado,11/14/2013,Pending Construction,12500,1,Greater Sacramento Counties
09 - El Dorado,11/14/2013,In Construction,12210865,6,Greater Sacramento Counties
09 - El Dorado,11/14/2013,In Closure,23367713,4,Greater Sacramento Counties
10 - Fresno,11/14/2013,In Review,38519132.71,40,
10 - Fresno,11/14/2013,Pending Construction,9320008,32,
10 - Fresno,11/14/2013,In Construction,237789742.9,80,
10 - Fresno,11/14/2013,In Closure,16278368.08,70,
11 - Glenn,11/14/2013,In Review,0,0,
11 - Glenn,11/14/2013,Pending Construction,0,0,
11 - Glenn,11/14/2013,In Construction,224685,1,
11 - Glenn,11/14/2013,In Closure,10000,1,
12 - Humboldt,11/14/2013,In Review,5420000,9,
12 - Humboldt,11/14/2013,Pending Construction,1456000,6,
12 - Humboldt,11/14/2013,In Construction,88223714,15,
12 - Humboldt,11/14/2013,In Closure,268300,4,
13 - Imperial,11/14/2013,In Review,6035000,2,
13 - Imperial,11/14/2013,Pending Construction,81500,3,
13 - Imperial,11/14/2013,In Construction,98000,2,
13 - Imperial,11/14/2013,In Closure,508711,2,
14 - Inyo,11/14/2013,In Review,0,0,
14 - Inyo,11/14/2013,Pending Construction,39903,2,
14 - Inyo,11/14/2013,In Construction,9300,2,
14 - Inyo,11/14/2013,In Closure,42165810.54,4,
15 - Kern,11/14/2013,In Review,7413089,20,
15 - Kern,11/14/2013,Pending Construction,1256709,14,
15 - Kern,11/14/2013,In Construction,67140597,35,
15 - Kern,11/14/2013,In Closure,16389826.66,28,
16 - Kings,11/14/2013,In Review,440000,6,
16 - Kings,11/14/2013,Pending Construction,28270000,7,
16 - Kings,11/14/2013,In Construction,318722,6,
16 - Kings,11/14/2013,In Closure,580626,11,
17 - Lake,11/14/2013,In Review,243000,2,
17 - Lake,11/14/2013,Pending Construction,131500,3,
17 - Lake,11/14/2013,In Construction,5794032.23,16,
17 - Lake,11/14/2013,In Closure,43006.04,2,
18 - Lassen,11/14/2013,In Review,326000,1,
18 - Lassen,11/14/2013,Pending Construction,145120,1,
18 - Lassen,11/14/2013,In Construction,1165643,9,
18 - Lassen,11/14/2013,In Closure,0,0,
19 - Los Angeles,11/14/2013,In Review,520346736.2,419,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,Pending Construction,200857901.5,500,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,In Construction,2272683654,853,Greater Los Angeles Counties
19 - Los Angeles,11/14/2013,In Closure,610679675,694,Greater Los Angeles Counties
20 - Madera,11/14/2013,In Review,695954,1,
20 - Madera,11/14/2013,Pending Construction,25000,1,
20 - Madera,11/14/2013,In Construction,5351273,21,
20 - Madera,11/14/2013,In Closure,15438414.53,15,
21 - Marin,11/14/2013,In Review,178628715,15,Bay Area Counties
21 - Marin,11/14/2013,Pending Construction,44494250,11,Bay Area Counties
21 - Marin,11/14/2013,In Construction,24009064,20,Bay Area Counties
21 - Marin,11/14/2013,In Closure,6612121,14,Bay Area Counties
22 - Mariposa,11/14/2013,In Review,0,0,
22 - Mariposa,11/14/2013,Pending Construction,0,0,
22 - Mariposa,11/14/2013,In Construction,0,0,
22 - Mariposa,11/14/2013,In Closure,0,0,
23 - Mendocino,11/14/2013,In Review,3596175,8,
23 - Mendocino,11/14/2013,Pending Construction,16013000,5,
23 - Mendocino,11/14/2013,In Construction,2246074,13,
23 - Mendocino,11/14/2013,In Closure,37709600,6,
24 - Merced,11/14/2013,In Review,233600,4,
24 - Merced,11/14/2013,Pending Construction,251075,5,
24 - Merced,11/14/2013,In Construction,12965854,4,
24 - Merced,11/14/2013,In Closure,333485.2,4,
25 - Modoc,11/14/2013,In Review,0,0,
25 - Modoc,11/14/2013,Pending Construction,12500,1,
25 - Modoc,11/14/2013,In Construction,0,0,
25 - Modoc,11/14/2013,In Closure,0,0,
26 - Mono,11/14/2013,In Review,190794,2,
26 - Mono,11/14/2013,Pending Construction,0,0,
26 - Mono,11/14/2013,In Construction,22398,4,
26 - Mono,11/14/2013,In Closure,533972,2,
27 - Monterey,11/14/2013,In Review,1941290,9,
27 - Monterey,11/14/2013,Pending Construction,1501476,14,
27 - Monterey,11/14/2013,In Construction,36485171,20,
27 - Monterey,11/14/2013,In Closure,4474283.65,14,
28 - Napa,11/14/2013,In Review,360000,5,Bay Area Counties
28 - Napa,11/14/2013,Pending Construction,669298,6,Bay Area Counties
28 - Napa,11/14/2013,In Construction,34346720,12,Bay Area Counties
28 - Napa,11/14/2013,In Closure,50586897.76,23,Bay Area Counties
29 - Nevada,11/14/2013,In Review,15462056,6,
